FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
"O Conselho de Estado declarou um período de três dias de luto nacional pelas vítimas do terremoto a partir de 19 de maio de 2008; as bandeiras nacionais e regionais da RPC das regiões administrativas especiais de Hong Kong e Macau voam a meio mastro.";O conselho do Estado;declarou;um período de três dias de luto nacional;Det N ADP det N;V;Det N ADP Num N ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Conselho de Estado declarou um período de três dias de luto nacional pelas vítimas do terremoto a partir de 19 de maio de 2008; as bandeiras nacionais e regionais da RPC das regiões administrativas especiais de Hong Kong e Macau voam a meio mastro.";as bandeiras nacionais e regionais da RPC das regiões administrativas especiais de Hong Kong e Macau;voam a;meio mastro;Det N adj conj adj ADP det Pron ADP det N adj adj ADP PropN conj PropN;V ADP;adj N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
A rota da tocha pelo país foi reduzida e houve um minuto de silêncio quando a próxima etapa começou na cidade de Ruijin, Jiangxi, na quarta-feira após o terremoto.;A próxima etapa;começou em;a cidade de  Ruijin, Jiangxi ;PropN;V;ADP det N ADP PropN punct PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
A rota da tocha pelo país foi reduzida e houve um minuto de silêncio quando a próxima etapa começou na cidade de Ruijin, Jiangxi, na quarta-feira após o terremoto.;A rota da tocha pelo país ;foi;reduzida;Det N ADP det N ADP det N;V;part;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"De acordo com um estudo da Administração de Terremotos da China (CEA), o terremoto ocorreu ao longo do Falha Longmenshan, uma estrutura de empuxo ao longo da fronteira da Placa Indo-Australiana e Placa da Eurásia."": {";O terremoto;ocorreu a;o longo da Falha de Longmenshan;Det N;V ADP;det N ADP det ADP PropN ;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"O sismólogo japonês Yuji Yagi, da Universidade de Tsukuba, disse que o terremoto ocorreu em duas etapas \""A falha de Longmenshan, a 247 quilômetros de profundidade, partiu em duas seções, a primeira rasgando cerca de sete metros, seguida pela segunda, que cortou quatro metros\""."": {";A falha de Longmenshan;partiu;em duas sessões ;Det N ADP PropN ;V;ADP N N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"O sismólogo japonês Yuji Yagi, da Universidade de Tsukuba, disse que o terremoto ocorreu em dois estágios \""A falha de Longmenshan, a 247 quilômetros de extensão, partiu em duas seções, a primeira com cerca de sete metros e a segunda com quatro metros\ ";o terremoto;ocorreu em;dois estágios;Det N;V ADP;N N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"O sismólogo japonês Yuji Yagi, da Universidade de Tsukuba, disse que o terremoto ocorreu em dois estágios \""A falha de Longmenshan, a 247 quilômetros de extensão, partiu em duas seções, a primeira com cerca de sete metros e a segunda com quatro metros\ ";A falha de Longmenshan;partiu em;duas seções;Det adj ADP PropN;V ADP ;N N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Enquanto isso, um trem de carga que transportava 13 tanques de gasolina descarrilou em Condado de Hui, Gansu, e pegou fogo depois que o trilho foi distorcido."": {";Um trem de carga;transportava;13 tanques de gasolina;Det N ADP N;V;Num N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Enquanto isso, um trem de carga que transportava 13 tanques de gasolina descarrilou em Condado de Hui, Gansu, e pegou fogo depois que o trilho foi distorcido."": {";Um trem de carga;pegou;fogo depois que o trilho foi distorcido;Det N ADP N;V;N adv conj det N v adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"A Sociedade da Cruz Vermelha da China também afirmou que as áreas de desastre precisam de tendas, suprimentos médicos, água potável e comida; no entanto, recomendou doando dinheiro em vez de outros itens, pois não havia sido possível alcançar estradas completamente danificadas ou locais bloqueados por deslizamentos de terra."": {";A sociedade da Cruz Vermelha da China ;afirmou;que as áreas de desastre precisam de tendas, suprimentos médicos, água potável e comida;Det N ADP det N adj ADP det PropN;V;conj det N ADP N v ADP N punct N N punct N adj conj N ;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Os Estados Unidos compartilharam algumas de suas imagens de satélite das áreas atingidas pelo terremoto com as Autoridades chinesas."": {";Os Estados Unidos ;compartilharam;algumas de suas imagens de satélite ;Det PropN ;V;Det ADP poss N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Nova York - freqüentemente chamada Cidade de Nova York ou Cidade de Nova York para distingui-la do Estado de Nova York, do qual faz parte - é a cidade mais populosa dos Estados Unidos e o centro da área metropolitana de Nova York, o principal portal de imigração legal para os Estados Unidos e uma das aglomerações urbanas mais populosas do mundo.""";Nova York ;é;a cidade mais populosa dos Estados Unidos ;pron N;V;Det N adv adj ADP det PropN ;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Nova York - freqüentemente chamada Cidade de Nova York ou Cidade de Nova York para distingui-la do Estado de Nova York, do qual faz parte - é a cidade mais populosa dos Estados Unidos e o centro da área metropolitana de Nova York, o principal portal de imigração legal para os Estados Unidos e uma das aglomerações urbanas mais populosas do mundo.""";Nova York ;é ;o centro da área metropolitana ;PropN;V;Det N ADP det adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Na era pré-colonial, a área da atual cidade de Nova York era habitada por várias bandas de tribos algonquianas de nativos americanos, incluindo os Lenape, cuja terra natal, conhecida como Lenapehoking, incluía Staten Island; a parte oeste de Long Island, incluindo a área que se tornaria Brooklyn e Queens; Manhattan; o Bronx; e o vale do baixo Hudson."": {";A área da atual Nova York;era;habitada por várias bandas de tribos de algonquianas de nativos americanos;Det N ADP det adj propN;V;adj ADP det N ADP N ADP PropN ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1664, Peter Stuyvesant, diretor-geral da colônia da Nova Holanda, entregou Nova Amsterdã aos ingleses sem derramamento de sangue."": {";Peter stuyvesant;entregou;Nova Amsterdã aos ingleses sem derramamento de sangue;PropN;V;PropN Det adj ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Batalha de Long Island, a maior batalha da Guerra Revolucionária Americana, foi travada em agosto de 1776, inteiramente no bairro moderno do Brooklyn."": {";A batalha de Long Island;foi;travada em agosto de 1776;Det N ADP PropN;V;part ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Batalha de Long Island, a maior batalha da Guerra Revolucionária Americana, foi travada em agosto de 1776, inteiramente no bairro moderno do Brooklyn."": {";A batalha de Long Island;foi;travada inteiramente no bairro moderno do Brooklyn;Det N ADP PropN;V;part adv ADP det N adj ADP det PropN;;;;;;;;;;;;;;;;;;;
"Quando um candidato presidencial republicano às eleições de 2016 ridicularizou o liberalismo dos \""valores de Nova York\"" em janeiro de 2016, Donald Trump, líder nas pesquisas, defendeu vigorosamente sua cidade."": {";Donald trump;defendeu;vigorosamente sua cidade;PropN;V;adv poss N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Quando um candidato presidencial republicano às eleições de 2016 ridicularizou o liberalismo dos \""valores de Nova York\"" em janeiro de 2016, Donald Trump, líder nas pesquisas, defendeu vigorosamente sua cidade."": {";um candidato presidencial republicano;ridicularizou;"o liberalismo dos \""valores de Nova York\""";Det N adj adj;V;det N ADP det punct punct adj adp PropN punct punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O rio Harlem, outro estreito de maré entre os rios East e Hudson, separa a maior parte de Manhattan do Bronx."": {";O rio harlem;separa;a maior parte de Manhanttan do Bronx;Det N PropN;V;det adj N ADP PropN ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O ponto mais alto da cidade é Todt Hill, em Staten Island, que, a 124,9 m acima do nível do mar, é o ponto mais alto da costa leste do sul do Maine."": {";O ponto mais alto da cidade;é;Todt Hill;Det N adv adj ADP det N;V;PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O ponto mais alto da cidade é Todt Hill, em Staten Island, que, a 124,9 m acima do nível do mar, é o ponto mais alto da costa leste do sul do Maine."": {";Todt Hill;é;o ponto mais alto da costa leste do sul do Maine;PropN;V;det N adv adj ADP det N N ADP det N ADP det PropN;;;;;;;;;;;;;;;;;;;
"O maior parque municipal da cidade é o Pelham Bay Park, com 2.700 acres (1.093 ha)."": {";O maior parque municipal da cidade;é;o Pelham Bay Park;Det adj N N ADP det N;V;Det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Com 2,7 milhões em 2012, a população branca não hispânica de Nova York é maior do que as populações brancas não hispânicas de Los Angeles (1,1 milhão), Chicago (865.000) e Houston (550.000) juntas."": {";A população branca não-hispânica de Nova York;é;maior que as populações não brancas hispânicas de Los Angeles;Det N adj adv adj ADP det propN;V;Adv ADP det N adv adj adj ADP propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A cidade de Nova York possui um alto grau de disparidade de renda, conforme indicado pelo seu coeficiente de Gini de 0,5 para a cidade em geral e 0,6 para Manhattan."": {";Nova York;possui;um alto grau de disparidade de renda;PropN;V;det adj N ADP N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em outubro de 2014, o Anbang Insurance Group, com sede na China, comprou o Waldorf Astoria New York por US $ 1,95 bilhão, tornando-o o hotel mais caro do mundo já vendido."": {";O Anbang aInsurance Group; comprou;o hotel Waldorf Astoria New York;Det PropN;V;Det N PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"A frota de ônibus públicos da cidade de Nova York é a maior da América do Norte, e o Port Authority Bus Terminal, o principal terminal de ônibus interurbano da cidade, atende 7.000 ônibus e 200.000 passageiros diariamente, tornando-se a estação de ônibus mais movimentada do mundo."": {";A frota de ônibus públicos da cidade de Nova York;é;A maior da América do Norte;Det N ADP N adj ADP det N ADP PropN;V;Det adj ADP det PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"A frota de ônibus públicos da cidade de Nova York é a maior da América do Norte, e o Port Authority Bus Terminal, o principal terminal de ônibus interurbano da cidade, atende 7.000 ônibus e 200.000 passageiros diariamente, tornando-se a estação de ônibus mais movimentada do mundo."": {";O Port Authority Bus Terminal;atende;7.000 ônibus e 200.000 passageiros diariamente;Det PropN;V;Num punct Num N conj Num punct N adv;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Eu amo Nova Iorque (estilizado I ❤ NY) é um logotipo e uma música que são a base de uma campanha publicitária e são usados desde 1977 para promover o turismo na cidade de Nova York e, posteriormente, também para promover o Estado de Nova York."": {";Eu amo Nova Iorque ;é;um logotipo e uma música que são a base de uma campanha publicitária;PropN;V;Det N conj Det N conj v det N ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Ponte George Washington é a ponte de veículos a motor mais movimentada do mundo, conectando Manhattan ao Condado de Bergen, Nova Jersey."": {";Ponte George Washington;é;a ponte de véiculos a motor mais movimentada do mundo;N propN;V;Det N ADP N det N adv adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A cidade de Nova York está localizada em um dos maiores portos naturais do mundo, e os bairros de Manhattan e Staten Island são (principalmente) coterminosos com ilhas com os mesmos nomes, enquanto Queens e Brooklyn estão localizadas na extremidade oeste da maior Ilha Longa, e O Bronx está localizado na ponta sul do continente do estado de Nova York."": {";A cidade de Nova York;está;localizada em um dos maiores portos naturais do mundo;Det N ADP PropN;V;N ADP Det ADP Det adj N adj ADP Det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Desde 1990, uma peça baseada no romance é realizada anualmente na cidade natal de Harper Lee, em Monroeville, Alabama."":";Desde 1990, uma peça ;é;realizada anualmente na cidade natal de Harper Lee;ADP Num punct det N;V;v adv ADP det N adj ADP propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1960, Capote e Lee viajaram juntos para o Kansas para investigar os vários assassinatos que foram a base do romance de ficção não-ficção de Capote In Cold Blood."": {";Capote e Lee;viajaram;juntos para o Kansas;PropN conj PropN;V;Adj ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O alabamiano nativo Allen Barra criticou Lee e o romance no The Wall Street Journal, chamando o Atticus de \""repositório de epigramas de barril de cracker\"" e o romance representa um \""mito coberto de açúcar\"" da história do Alabama."": {";Allen barra ;criticou;Lee e o romance no The Wall Street Journal;PropN;V;PropN conj det det N ADP det propN ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O pai de Lee morreu antes do lançamento do filme, e Lee ficou tão impressionado com a performance de Peck que ela lhe deu um relógio de bolso do pai, que ele tinha com ele na noite em que recebeu o Oscar de melhor ator."": {";O pai de Lee;morreu;antes do lançamento do filme;Det N ADP propN;V;adv ADP det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O pai de Lee morreu antes do lançamento do filme, e Lee ficou tão impressionado com a performance de Peck que ela lhe deu um relógio de bolso do pai, que ele tinha com ele na noite em que recebeu o Oscar de melhor ator."": {";Lee;ficou;impressionado com a performance;PropN;V;adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A energia solar total absorvida pela atmosfera da Terra, oceanos e massas terrestres é de aproximadamente 3.850.000 exajoules (EJ) por ano."": {";A quantidade de energia solar absorvida pela terra; é;aproximadamente 3.850.000 exajoules (EJ) por ano;Det N ADP det N adj N ;V;Adv Num N punct Pron punct ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A fábrica da Shuman usou calhas parabólicas para alimentar um motor de 45 a 52 quilowatts (60 a 70 hp) que bombeava mais de 22.000 litros (4.800 imp gal; 5.800 US gal) de água por minuto, do Rio Nilo aos campos de algodão adjacentes."": {";A fábrica da Shuman;usou;calhas parabólicas para alimentar um motor;N PropN;V;N adj ADP  v det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A fábrica da Shuman usou calhas parabólicas para alimentar um motor de 45 a 52 quilowatts (60 a 70 hp) que bombeava mais de 22.000 litros (4.800 imp gal; 5.800 US gal) de água por minuto, do Rio Nilo aos campos de algodão adjacentes."": {";um motor;bombeava;mais de 22.000 litros de água por minuto;Det N;V;Adv ADP Num N ADP N ADP N;extração sugerida;;;;;;;;;;;;;;;;;;
"Como resultado do colapso da União Soviética, o Tajiquistão se tornou uma nação independente em 1991."": {";O tajiquistão ;se tornou;uma nação independente 1991;Det PropN;pron V;Det N adj Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2010, houve preocupações entre as autoridades tadjiques de que o militarismo islâmico no leste do país estava em ascensão após a fuga de 25 militantes de uma prisão tadjique em agosto, uma emboscada que matou 28 soldados tadjiques no vale de Rasht em setembro, e outra emboscada no vale em outubro que matou 30 soldados, seguida de combates fora de Gharm que deixou 3 militantes mortos."": {";o militarismo islâmico no leste do país;estava em; ascensão após a fuga de 25 militantes;Det N adj ADP det N det ADP N;V ADP;N ADP det N Num adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2010, houve preocupações entre as autoridades tadjiques de que o militarismo islâmico no leste do país estava em ascensão após a fuga de 25 militantes de uma prisão tadjique em agosto, uma emboscada que matou 28 soldados tadjiques no vale de Rasht em setembro, e outra emboscada no vale em outubro que matou 30 soldados, seguida de combates fora de Gharm que deixou 3 militantes mortos."": {";uma emboscada;matou;28 soldados tadjiques;Det N;V;Num N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Império Samanida, 819 a 999, restaurou o controle persa da região e ampliou as cidades de Samarcanda e Bukhara ( hoje as duas cidades fazem parte do Uzbequistão), que se tornaram os centros culturais do Irã e a região era conhecida como Khorasan."": {";O império samanida;restaurou;o controle persa ;Det N adj;V;Det V adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Império Samanida, 819 a 999, restaurou o controle persa da região e ampliou as cidades de Samarcanda e Bukhara ( hoje as duas cidades fazem parte do Uzbequistão), que se tornaram os centros culturais do Irã e a região era conhecida como Khorasan."": {";Samarcanda e Bukhara;se tornaram;os centros culturais do Irã;PropN conj PropN;Pron V;det N adj ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Império Samanida, 819 a 999, restaurou o controle persa da região e ampliou as cidades de Samarcanda e Bukhara ( hoje as duas cidades fazem parte do Uzbequistão), que se tornaram os centros culturais do Irã e a região era conhecida como Khorasan."": {";a região;era;conhecida como Khorasan;Det N;V;part conj PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Durante o final do século XIX, os jadidistas se estabeleceram como um movimento social islâmico em toda a região."": {";Os jadidistas se;estabeleceram  em ;o final do século XIX um movimento social islâmico em toda a região;Det adj ;V ADP;det adj ADP det N Num det N adj ADP ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Tadjiquistão (i / tɑːdʒiːkᵻstɑːn /, / tədʒiːkᵻstæn / ou / tædʒiːkiːstæn /; persa تاجيكستان Тоҷикистон [tɔd͡ʒikɪstɔn]), oficialmente a República do Tajiquistão (persa جمهورى تاجيكستان tadjique Ҷумҳурии Тоҷикистон, Çumhuriji Toçikiston / Jumhuriyi Tojikiston; Russo Респу́блика Таджикистан, Respublika Tadzhikistan), é um país montanhoso e sem litoral na Ásia Central, com cerca de 8 milhões de habitantes em 2013 e uma área de 143.100 km2."": {";Tadjiquistão; é;um país montanhoso;"PropN

";V;Det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Tadjiquistão (i / tɑːdʒiːkᵻstɑːn /, / tədʒiːkᵻstæn / ou / tædʒiːkiːstæn /; persa تاجيكستان Тоҷикистон [tɔd͡ʒikɪstɔn]), oficialmente a República do Tajiquistão (persa جمهورى تاجيكستان tadjique Ҷумҳурии Тоҷикистон, Çumhuriji Toçikiston / Jumhuriyi Tojikiston; Russo Респу́блика Таджикистан, Respublika Tadzhikistan), é um país montanhoso e sem litoral na Ásia Central, com cerca de 8 milhões de habitantes em 2013 e uma área de 143.100 km2."": {";Tadjiquistão;é ;um país sem litoral;PropN;V ;det N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Tadjiquistão (i / tɑːdʒiːkᵻstɑːn /, / tədʒiːkᵻstæn / ou / tædʒiːkiːstæn /; persa تاجيكستان Тоҷикистон [tɔd͡ʒikɪstɔn]), oficialmente a República do Tajiquistão (persa جمهورى تاجيكستان tadjique Ҷумҳурии Тоҷикистон, Çumhuriji Toçikiston / Jumhuriyi Tojikiston; Russo Респу́блика Таджикистан, Respublika Tadzhikistan), é um país montanhoso e sem litoral na Ásia Central, com cerca de 8 milhões de habitantes em 2013 e uma área de 143.100 km2."": {";Tadjiquistão;é um país com; cerca de 8 milhões de habitantes;PropN;V det N ADP;Det N ADP adj ADP Num N ADP adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"De acordo com um comunicado do Departamento de Estado dos EUA e um grupo de pesquisa Pew, a população do Tajiquistão é 98% muçulmana."": {";A população do Tajiquistão;é ;98% muçulmana;PropN;V;Num punct Adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"1916, quando manifestantes atacaram soldados russos em Khujand por uma ameaça de recrutamento forçado durante a Primeira Guerra Mundial."": {";manifestantes ;atacaram;soldados russos;Adj;V;N adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"O próprio Darwin chegou às suas conclusões através da comparação de espécies que vira na agronomia e na natureza."": {";Darwin;chegou a;as suas conclusões através da comparação de espécies ;PropN;V ADP;det poss N adj ADP det N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Waitz definiu antropologia como \""a ciência da natureza do homem\""."": {";Waitz;definiu ;"antropologia como a ""ciência da natureza do homem\""";PropN;V;N conj det punct N ADP det N ADP det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"A antropologia inicial se originou no Clássico Grécia e Pérsia e estudou e tentou entender a diversidade cultural observável."": {";A antropologia inicial  ; se originou em;o Clássico Grécia e Persia;Det N adj conj;Pron V ADP;det N PropN conj PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Com a ocupação de Napoleão, Portugal começou um declínio lento, mas inexorável, que durou até o século XX."": {";Portugal;começou;um declínio lento;PropN;V;Det N adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Portugal mantém uma forma republicana semi-presidencial unitária de governo e é um país desenvolvido com uma economia avançada e um alto padrão de vida, tendo o 18º maior progresso social do mundo, colocando-o à frente de outros países da Europa Ocidental como França, Espanha e Itália."": {";Portugal;mantém uma;forma republicana semi-presidencial;PropN;v;Det N adj adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Mais tarde, uma província do norte da Lusitânia foi formada, conhecida como Gallaecia, com capital em Bracara Augusta, hoje Braga."": {";uma província do norte da  Lusitânia ;foi;formada;Det N ADP det N ADP det;V;part;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"O período de Taifa terminou com a conquista dos almorávidas que vieram do Marrocos em 1086, conquistando uma vitória decisiva na Batalha de Sagrajas, seguida um século depois em 1147, após o segundo período de Taifa, pelos Almohads, também de Marraquexe."": {";O período de Taifa;terminou com;a conquista dos almorávidas;Det N PropN;V ADP;det N ADP det adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Os berberes eram originalmente das montanhas do Atlas e Rif do norte da África e eram essencialmente nômades."": {";Os berberes;eram;originalmente das montanhas do Atlas;Det adj;V;adv ADP det N ADP det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Os berberes eram originalmente das montanhas do Atlas e Rif do norte da África e eram essencialmente nômades."": {";Os berberes;eram;essencialmente nômades;Det adj;V;adv adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Durante este período, Portugal explorou o Oceano Atlântico, descobrindo vários arquipélagos atlânticos como os Açores, a Madeira e Cabo Verde, explorou a costa africana, colonizou áreas selecionadas da África, descobriu uma rota oriental para a Índia através do Cabo da Boa Esperança, descobriu o Brasil , explorou o Oceano Índico, estabeleceu rotas comerciais na maior parte do sul da Ásia e enviou as primeiras missões diplomáticas e comerciais marítimas europeias diretas à China e ao Japão."": {";Portugal;explorou;o Oceano Atlãntico;PropN;V;det N adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Durante este período, Portugal explorou o Oceano Atlântico, descobrindo vários arquipélagos atlânticos como os Açores, a Madeira e Cabo Verde, explorou a costa africana, colonizou áreas selecionadas da África, descobriu uma rota oriental para a Índia através do Cabo da Boa Esperança, descobriu o Brasil , explorou o Oceano Índico, estabeleceu rotas comerciais na maior parte do sul da Ásia e enviou as primeiras missões diplomáticas e comerciais marítimas europeias diretas à China e ao Japão."": {";Portugal;explorou;a costa africana;PropN;V;det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Durante este período, Portugal explorou o Oceano Atlântico, descobrindo vários arquipélagos atlânticos como os Açores, a Madeira e Cabo Verde, explorou a costa africana, colonizou áreas selecionadas da África, descobriu uma rota oriental para a Índia através do Cabo da Boa Esperança, descobriu o Brasil , explorou o Oceano Índico, estabeleceu rotas comerciais na maior parte do sul da Ásia e enviou as primeiras missões diplomáticas e comerciais marítimas europeias diretas à China e ao Japão."": {";Portugal;colonizou;áreas selecionadas da África;PropN;N;N adj ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Durante este período, Portugal explorou o Oceano Atlântico, descobrindo vários arquipélagos atlânticos como os Açores, a Madeira e Cabo Verde, explorou a costa africana, colonizou áreas selecionadas da África, descobriu uma rota oriental para a Índia através do Cabo da Boa Esperança, descobriu o Brasil , explorou o Oceano Índico, estabeleceu rotas comerciais na maior parte do sul da Ásia e enviou as primeiras missões diplomáticas e comerciais marítimas europeias diretas à China e ao Japão."": {";Portugal;explorou;o Oceano índico;PropN;V;Det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Mas as maiores reformas de Sebastião de Melo foram econômicas e financeiras, com a criação de várias empresas e guildas para regular todas as atividades comerciais."": {";as maiores reformas de Sebastião de Melo;foram;econômicas e financeiras;det adj N ADP PropN;V;adj conj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2001, Portugal descriminalizou a posse de todas as drogas que ainda são ilegais em outros países desenvolvidos, incluindo, entre outras, maconha, cocaína, heroína e LSD."": {";Portugal;descriminalizou;a posse de todas as drogas;PropN;V;det N ADP Pron det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O banco central de Portugal é o Banco de Portugal, parte integrante do Sistema Europeu de Bancos Centrais."": {";O banco central de Portugal;é;parte integrante do Sistema Europeu de Bancos Centrais;Det N adj ADP PropN;V;N adj ADP det N adj ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Desde a Revolução dos Cravos de 1974, que culminou no final de uma das fases mais notáveis da expansão econômica de Portugal (iniciada na década de 1960), ocorreu uma mudança significativa no crescimento econômico anual da nação."": {";a Revolução dos Cravos;culminou;no final de uma das fases mais notáveis dda expansão economica de Portugal;Det N ADP det N ;V;ADP det adj ADP ADP ADP det N adv adj ADP det N adj ADP propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições da Virgem Maria a três pastores em 1917.""";Os pontos turísticos mais procurados em Portugal;são;Lisboa, ALgarve, Madeira, Porto e a cidad de Coimbra;Det N adj adv adj ADP ;V;PropN punct PropN punct PropN punct PropN conj det N ADP PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições da Virgem Maria a três pastores em 1917.""";peregrinos religiosos;visitam;Fátima a cada ano;N adj;V;PropN det pron N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições da Virgem Maria a três pastores em 1917.""";peregrinos religiosos;visitam;Fátima;N adj;V;PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
Em 2007, Portugal tinha 10.617.575 habitantes, dos quais cerca de 332.137 eram imigrantes legais.;Portugal;tinha; 10.617.575 habitantes;PropN;V;Num adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As universidades portuguesas existem desde 1290;As universidades portuguesas;existem;desde 1290;Det N adj;V;ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
